English,Mon,Original_Definition
Undulations caused by waves,ဇွိုန်လပှ်,"(n) swell, undulations caused by waves, wave pattern, rising of waves undulation."
Unduly,နဒဒှ်မဟွံဒးရး,(adv) unduly.
Unearthly hour,အကာလ,"(n) untimely hour, unearthly hour, night time, time of darkness."
Uneasily.  နဒဒှ်မဟၟဲကဵုကဆံၚ်သက်သက်သာသာ၊ နဒဒှ်မဟွံလောဲသွာ။,နဒဒှ်မဟွံလောဲဗွဲ,(adv) uneasily. [id] နဒဒှ်မဟၟဲကဵုကဆံၚ်သက်သက်သာသာ၊ နဒဒှ်မဟွံလောဲသွာ။
Unequal in size,မဟွံတုပ်အဝဲ,(adj) unequal in size.
Unequal in size,အေဲ,(n) unequal in size.
Unerringly,ဟွံဗၠး,"(adv) with certainly, positively, unerringly."
Uneven,ဗြဗြုတ်,"(v) to be rough, uneven, have a broken surface, uneven as a road."
Uneven,ဗြုတ်,"(v) see ဗြဗြုတ် (v) to be rough, uneven, have a broken surface, even as a road."
Uneven,ဗြန်ဗြိုၚ်,"(v) to be rough, uneven."
Uneven as a road,ဗြဗြုတ်,"(v) to be rough, uneven, have a broken surface, uneven as a road."
Unexpected blast of wind,ကျာဒမၠုက်,"(n) unexpected blast of wind, fart. [id] ဆုတ်။"
Unexpectedly,ခြုဟ်,"(adv) suddenly, abruptly, immediately, at once, unexpectedly."
Unexpectedly,ရုဟ်,"(adv) instantly, unexpectedly, at once, suddenly, abruptly, immediately."
Unexpectedly,ဟွံရန်တၟံ,"(adv) unexpectedly, suddenly."
Unexplained,အဗျာကြိုတ်,"(adj.) [P. abyakato] [Skt. avykarita] undefined, unexplained."
