English,Mon,Original_Definition
Take it away but have the plantains.    ချူဂိုၚ်  to  record.    ဇုတ်လ္ပကၠဟ်ထောံညိ ဂိုၚ်လဝ်ကဵုအိုတ်ညိ  please do not throw the bones away,ဂိုၚ်,"1 (v) to grasp, to keep, to take, take away, put away.    အဲဂိုၚ်လွဳလဝ်ကောန်ကၞုဲ (v) I keep the baby monkey and reared it.    ခိုဟ်ရဂိုၚ်လဝ် ဆဂးစွံလဝ်ဗြာတ် (v) all right, take it away but have the plantains.    ချူဂိုၚ် (v) to {place on} record.    ဇုတ်လ္ပကၠဟ်ထောံညိ ဂိုၚ်လဝ်ကဵုအိုတ်ညိ (v) please do not throw the bones away, but keep them all.    ဍေံဂိုၚ်စပုၚ် (v) he took some rice ate it.    သီဂိုၚ် (v) to take possession of.    ၜိုပ်က္ၜၚ်ဂိုၚ်ကပ္ဍဲခၟဴ (v) the gull {Muscovy duck} was holding a fish in tis beak. [Cf.] ကေပ်၊ ကေံ(မ်)၊ ကြိုၚ်၊ ခံ(မ်)၊ စွံ(အ်)၊ ဒေပ်၊ ရပ်။    [Der.] ဂွိုၚ် (n) storage basket."
Take it down stairs,ခတုံ,"ဒတုံဖျေံသၟဝ်သ္ၚိ (v) take it down under the house, take it down stairs."
Take it down stairs,ဒတုံဖျေံသၟဝ်သ္ၚိ,"(v) take it down under the house, take it down stairs."
Take it down staris,ပ္တုံဖျေံသၟဝ်သ္ၚိ,"(v) take it down under the house, take it down staris."
Take it down under the house,ခတုံ,"ဒတုံဖျေံသၟဝ်သ္ၚိ (v) take it down under the house, take it down stairs."
Take it down under the house,ဒတုံဖျေံသၟဝ်သ္ၚိ,"(v) take it down under the house, take it down stairs."
Take it down under the house,ပ္တုံဖျေံသၟဝ်သ္ၚိ,"(v) take it down under the house, take it down staris."
Take it down under the house,ဖတုံ,"ဖ္တုံဖျေံသၟဝ်သ္ၚိ (v) take it down under the house, take it downstairs."
Take it downstairs,ဖတုံ,"ဖ္တုံဖျေံသၟဝ်သ္ၚိ (v) take it down under the house, take it downstairs."
Take me with you,ဏာ,ကော်ဏာအဲ (v) take me with you.
Take measurement,ၜတ်ကၞာတ်,"(v) to survey, to measure, take measurement, to take measure."
Take my bags down stairs,ဖျေံဏာဂွဳစိုက်အဲအသၟဝ်တေံညိ,"(v) please, take my bags down stairs."
