English,Mon,Original_Definition
Gather up,အုဲ,"3 (v) gather up, scoop.    အုဲဗဂုဲ (v) keep in order, keep in repair, companion or attendant for sundry job.    အုဲဗဂုဲကၠောန်ၜိုတ် (v) wait on {a revered person} hand and food."
Gathering,ဂဝဝ်ဂမၠိုၚ်,"(n) crowd, gathering."
Gathering,ဗဝဝ်,"ဗွဝ်ဂမၠိုၚ် (n) crowd, gathering."
Gathering for the preaching of the law,ဓမ္မဂစ္ဆာ,(n) gathering for the preaching of the law.
Gathering of matter,သ္ၚိပ္တိုဟ်,"(n) gathering of matter, gathering of pus."
Gathering of monks,သၚ်,"1 (n) third of the three gems, monastic order, sangha, gathering of monks, monk.    အဲဍိက်မံဂြံသၚ် (n) I take refuge in the order.    ဖျေံဇွသၚ် (n) to take down a monk's coffin after the lying-in-state. [Cf.] third sense, ခမဳ။"
Gathering of pus,သ္ၚိပ္တိုဟ်,"(n) gathering of matter, gathering of pus."
Gathering of wind in the intestines.  ကၟေၚ်။  အဖိုၚ်ကျာ။,သ္ၚိကျာ,"(n) verandah in front of house used for eating, leisure and receiving guests, gathering of wind in the intestines. [Cf.] ကၟေၚ်။ [Syn.] အဖိုၚ်ကျာ။"
Gaudily,နဒဒှ်မပလေဲတၟးဇးလောန်အာ,(adv) gaudily.
Gauge,ခယျ,"(v) to guess, sympathize with, be considerate to, have consideration for, compare to with, estimate, gauge, guess, intend, expect, particle prefixed to an presume."
Gauge,ဂိုတ်,"2 (n) [Eng.] gauge, measure of thickness of sheet meatl or wires."
Gauge,ရာ,"3 (v) gauge, size-up, earmark."
Gauge,အဆ,"(n) multiple, fold, estimate, gauge, dexterity, touch."
Gauntlet,ဂရောပ်တဲ,"(n) glove, mitten, gauntlet."
Gaur,ကလိၚ်,"1 (n) gaur, wild buffalo, bison, Bibos gaurus readial. [id] ပြေၚ်အရိုၚ်။"
Gazette,အသံတြး,"(n) [obs.] king’s order promulgated by the ကၠတ်ထဝ် notification, gazette."
Gazette appointee or officer,ညးမလုပ်အဝေါၚ်အသံတြး,(n) gazette appointee or officer.
Gazette holiday,တ္ၚဲတၟာတ်ရုၚ်,(n) gazette holiday.
Gazette officer of sub-divisional rank,ဂစှ်ေဝန်ဇၞော်,(n) gazette officer of sub-divisional rank.
Gear,ကပေါတ်,"(n) gear, property, equipment, furniture, belongings."
Gear,ကပေါတ်,"(n) see အပေါတ် (n) tools, instruments, gear."
Gear,ကပေါတ်ကညောတ်,"(n) gear, baggage, luggage."
Gear,ကပေါတ်ကြိယာ,"(n) gear, instruments."
Gear,ကြိယာ,"ကပေါတ်ကြိယာ (n) gear, instruments."
Gear,လ္ပောတ်,"(n) tools, instruments, gear."
Gear,လ္ပောတ်,"လ္ပောတ်ကြဳယာ (n) gear, instruments. [id.] ကပေါတ်ကညောတ်။ [Var.] (pref) အပေါတ်၊ ကပေါတ်။"
Gear,အပေါတ်,"(n) gear, property, equipment, furniture, belongings. [id.] ကပေါတ်။"
Gecko,ကာပ်ကေဝ်,"(n) species of large crowing lizard, tuctoo lizard, gecko, Gecko guttatus Daudin. [id] ကာပ်ကာဲ(ယ်)။"
Gecko guttatus daudin.  ကာပ်ကာဲ။,ကာပ်ကေဝ်,"(n) species of large crowing lizard, tuctoo lizard, gecko, Gecko guttatus Daudin. [id] ကာပ်ကာဲ(ယ်)။"
