English,Mon,Original_Definition
Rake,ဂြး,"1 (v) to comb, to harrow. [Cf.] ခြး၊ ဂွး၊ ဇိက်၊ ဗဍိုတ်။ [Der.] ဂရး (n) comb, harrow, rake."
Rake,ဂွာတ်,"(v) to scratch, rake."
Rake,မၞိဟ်ယုတ်မာ,"(n) knave, rake, wicked and evil person, scoundrel, unscrupulous person."
Rake,အယုတ်,"(n) unworthiness, knave, rake, bad man, wicked and evil person."
Rake off,ခတး,"3 (v) to make level, rake off, to level. [id] သ္တး။    ဗဝ်သ္တး (v) to fill in and level {road}j.    သ္တပ်သ္တး (v) to straighten. [Cf.] ၚး၊ ညဳ၊ ပညဳ၊ ပၠာ်(က်)။    [Der.] တး (v) to level.    သ္တးချံက် (v) to rake off the straw after threshing."
Rake off,သ္တး,"(v) to rake level, rake off, to level, to level off, to be even, sweep together."
Rake the rubbish round the drain down into it,ဂွာတ်,အမှိက်ဇိုၚ်မြံၚ်ဂှ်ဂွာတ်ဖျေံထောံပ္ဍဲမြံၚ် (v) rake the rubbish round the drain down into it.
Rake.  ဂရး။,ဂဟာ,2 (n) rake. [Syn.] ဂရး။
Rakhain,ရက္ခေၚ်,"(n) Rakhain, name of one of the national group of the Union of Burma."
Rakings,အိက်ဂရး,(n) rakings.
Rally,သီပ္ကောံ,"(v) to collect in one place, unite, rally, to gather together. [id.] ဂၜေါပ်၊ ဓရီု(မ်)၊ ဓရီုသ္ကံ(အ်)၊ ဓရီုမွဲဟာန်ညးၜါ၊ ဗ္ၜောဝ်၊ သွိုဟ်ပ္ကောံ(မ်)။"
Rally round,ရီုသ္ဘာ်,"[id.] rally round, come to aid of, help."
Ram,ဇီု,"2 (v) to collide {with}, charge, ram, strike, dash against, to heave, throw with an effort, to bowl.    အဲဇီုဒးဒယိုၚ်သ္ၚိ (v) I bumped into a housepost.    ကွဳဇဵု (v) the cart collided.    ကွဳလိုန်ဇီုဒးအဲ (v) I got knocked down by a bicycle.    ဂၠဴဇီု (v) the bulls charged each other.    ဂၠုၚ်ဇီုဒးကဵုတၟံၜဳ (v) the canoe hit a rock. [Cf.] first sense, စုက်၊ တေက်၊ ဒိ၊ ဒး၊ လုက်။ second sense, ကလှ်၊ ထဝေၚ်၊ ထောဲ၊ ထောံ(အ်)၊ ဒဗိုတ်၊ ဗိုတ်၊ လှောဝ်။    ဇီုကဵုတၟံ(အ်) (v) to heave a rock at someone.    ဇီုကၠုၚ်တၟံတုဲ (v) crashing into boulders."
Ram,သဵုကၟက်,(n) ram.
