English,Mon,Original_Definition
Half crazed.  စိုတ်ယောၚ်ယာ၊ စိုတ်သာ။  ပရံ  madman,ကြအ်,"(v) to be agitated to the point of being unable to keep still, half crazed. [Cf.] စိုတ်ယောၚ်ယာ၊ စိုတ်သာ။ [Dre.] ပရံ(အ်) (n) madman."
Half crazed.  စိုတ်ယောၚ်ယာ၊ စိုတ်သာ။  ပရံ  madman,ကြံ,"ကြၚ်ကြံ(အ်) (v) to be agitated to the point of being unable to keep still, half crazed. [Cf.] စိုတ်ယောၚ်ယာ၊ စိုတ်သာ။ [Dre.] ပရံ(အ်) (n) madman."
Half day,ဗဂါပ်,"(n) half day, half of a day. [id] ဗ္ဂာပ်။"
Half day.  ဗ္ဂာပ်။,မွဲဗ္ဂာပ်,(n) half day. [id.] ဗ္ဂာပ်။
Half of a day.  ဗ္ဂာပ်။,ဗဂါပ်,"(n) half day, half of a day. [id] ဗ္ဂာပ်။"
Half of a viss,ကပါ်,"(n) half of a viss, 50 ticals weigh, 50 ticals weigh, 50 rupees, side direction, one of two sides, half part, segment. [id] လ္ပာ်(က်)။"
Half part,ကပါ်,"(n) half of a viss, 50 ticals weigh, 50 ticals weigh, 50 rupees, side direction, one of two sides, half part, segment. [id] လ္ပာ်(က်)။"
Half pass one.  အပါ်၊ ကပါ်၊ ကဝါ်၊ ကရေက်၊ ပါ်၊ ဘာ်။  ကဝက်၊ တဝက်။  ပါ်  to half,ပွာ်,မွဲနာဍဳပွာ်(က်) (n) half pass one. [Cf.] အပါ်(က်)၊ ကပါ်(က်)၊ ကဝါ်(က်)၊ ကရေက်၊ ပါ်(က်)၊ ဘာ်(က်)။ [Syn.] ကဝက်၊ တဝက်။ [Der.] ပါ်(က်) (v) to half.
Half pass one.  အပါ်၊ ကပါ်၊ ကဝါ်၊ ကရေက်၊ ပါ်၊ ဘာ်။  ကဝက်၊ တဝက်။  ပါ်  to half,ပွာက်,မွဲနာဍဳပွာ်(က်) (n) half pass one. [Cf.] အပါ်(က်)၊ ကပါ်(က်)၊ ကဝါ်(က်)၊ ကရေက်၊ ပါ်(က်)၊ ဘာ်(က်)။ [Syn.] ကဝက်၊ တဝက်။ [Der.] ပါ်(က်) (v) to half.
Half ripe,ပု,"(v) half ripe, to be near ripe.    သတ်ကြုက်တံဏံကြံၚ်မံၚ်ဟွံပုဏီ (v) these mangoes are not more than half ripe. [Cf.] second sense, ကြံၚ်၊ ဍုဟ်၊ ၜတ်။"
Half sister.  ဒေံဗြဴမွဲယာဲၜါအပါ။,ဒေံဗြဴမွဲအပါၜါယာဲ,(n) half sister. [id] ဒေံဗြဴမွဲယာဲၜါအပါ။
Half-basket,ဘာ်န,(n) {of paddy} half-basket.
Half-crazed.  စိုတ်ယောၚ်ယာ၊ စိုတ်သာ။  ပရံ  mad man,တြံ,"ကြၚ်တြံ(အ်) (v) to be agitated to the point of being unable to keep still, half-crazed. [Cf.] စိုတ်ယောၚ်ယာ၊ စိုတ်သာ။ [Der.] ပရံ(အ်) (n) mad man."
Half-crazed.  စိုတ်ယောၚ်ယာ၊ စိုတ်သာ။  ပရံ  mad man,တြအ်,"ကြၚ်တြအ် (v) to be agitated to the point of being unable to keep still, half-crazed. [Cf.] စိုတ်ယောၚ်ယာ၊ စိုတ်သာ။ [Der.] ပရံ(အ်) (n) mad man."
Half-foot.  မိဟ်။,မွဲမိဟ်,(n) half-foot. [id.] မိဟ်။
Half-hearted,မကၠောန်ကမၠောန်ကဆံၚ်စိုတ်ကၠာပါကဵုဟွံမပါ,(adj) half-hearted.
